"id","name","terms"
"d003902","detergents","detergents;detergent;synthetic detergent;detergent synthetic;detergents synthetic;synthetic detergents;syndet;detergent pods;detergent pod;pod detergent;pods detergent;laundry pods;laundry pod;pod laundry;pods laundry;laundry detergent pods;detergent pod laundry;detergent pods laundry;laundry detergent pod;pod laundry detergent;pods laundry detergent;cleansing agents;agent cleansing;agents cleansing;cleansing agent"
"d058113","cerumenolytic agents","cerumenolytic agents;agents cerumenolytic;cerumenolytic;wax solvent;solvent wax;cerumen remover;remover cerumen"
"d045703","emulsifying agents","emulsifying agents;agents emulsifying;emulsifyers"
"d007164","immunosorbents","immunosorbents;immunoadsorbents"
"d014906","wetting agents","wetting agents;agents wetting"
"d000934","antifoaming agents","antifoaming agents;agents antifoaming;foam retardants;retardants foam;defoaming agents;agents defoaming;antiflatulents"
"d013501","surface-active agents","surface-active agents;agents surface-active;surface active agents;active agents surface;agents surface active;tensides;surfactants;amphiphilic agents;agents amphiphilic"
"d055682","viscoelastic substances","viscoelastic substances;substances viscoelastic;viscoelastic solutions;solutions viscoelastic;viscoelastic foams;foams viscoelastic"
"d000269","adhesives","adhesives;adhesive;mucilages adhesive;adhesive mucilage;adhesive mucilages;mucilage adhesive;mucilage adhesives;mucilage adhesive;adhesive mucilage;adhesives mucilage;glues;glue"
"d005308","fertilizers",""
"d002629","chemosterilants",""
"d005659","fungicides industrial","fungicides industrial;industrial fungicides"
"d003678","defoliants chemical","defoliants chemical;chemical defoliants"
"d006540","herbicides","herbicides;algicides;algaecides"
"d007302","insect repellents","insect repellents;repellents insect"
"d007306","insecticides",""
"d008975","molluscacides",""
"d010573","pesticide residues","pesticide residues;pesticide residue;residue pesticide;residues pesticide"
"d010574","pesticide synergists","pesticide synergists;synergists pesticide"
"d012378","rodenticides",""
"d010575","pesticides",""
"d056810","acaricides","acaricides;miticide;mite control agent;agent mite control;control agent mite"
"d016573","agrochemicals","agrochemicals;agrichemicals;chemicals agricultural;agricultural chemicals"
"d020313","specialty uses of chemicals","specialty uses of chemicals;specialty chemicals and products"
"d055359","antistatic agents","antistatic agents;agents antistatic;anti-static agents;agents anti-static;anti static agents;antistatic materials;materials antistatic;anti-static material;anti static material;material anti-static"
"d000781","anethole trithione","anethole trithione;trithione anethole;anisyldithiolthionine;anetholtrithione;trithioparamethoxyphenylpropene;anetholetrithione;anetholtrithion;anethol dithiolthione;dithiolthione anethol;trithioanethol;heporal;mucinol;trithio;sl-25;sl 25;sulfarlem;sonicur;sulfralem;tiotrifar;felviten;sialor"
"d002083","butylated hydroxyanisole","butylated hydroxyanisole;hydroxyanisole butylated;butylhydroxyanisole;butyl methoxyphenol;methoxyphenol butyl;11-dimethylethyl-4-methoxyphenol;bha;amif-72;amif 72;amif72;embanox;tenox bha;nipantiox 1-f;nipantiox 1 f;nipantiox 1f"
"d000840","anisoles","anisoles;methylphenyl ethers;ethers methylphenyl"
"d001629","bezafibrate","bezafibrate;solibay;eulitop;durabezur;azufibrat;befibrat;beza-lande;beza lande;beza-puren;beza puren;bezabeta;bezacur;bezafibrat pb;bezafisal;bezalip;bezamerck;bm-15075;bm 15075;bm15075;cedur;lipox;reducterol;regadrin b;sklerofibrat;bfizal;difaterol"
"d002992","clofenapate","clofenapate;methylclofenapate;methyl clofenapate;clofenapate methyl;ici-55695;ici 55695;ici55695"
"d002994","clofibrate","clofibrate;ethyl chlorophenoxyisobutyrate;chlorophenoxyisobutyrate ethyl;clofibric acid ethyl ester;atromid;atromid s;miscleron;miskleron;athromidin"
