"id","name","terms"
"d013720","tenuazonic acid","tenuazonic acid;acid tenuazonic"
"d014243","trichodermin","trichodermin;trichodermol"
"d013605","t-2 toxin","t-2 toxin;t 2 toxin;toxin t-2;t2 toxin;toxin t2;fusariotoxin;fusaritoxin;t-2 toxin alpha4 beta-isomer"
"d000080505","trichothecenes type a","trichothecenes type a;a trichothecenes type;type a trichothecenes"
"d000081442","trichothecenes type b","trichothecenes type b;type b trichothecenes"
"d000081443","trichothecenes type c","trichothecenes type c;type c trichothecenes"
"d014255","trichothecenes","trichothecenes;trichothecene epoxides;epoxides trichothecene;epoxytrichothecenes"
"d015025","zearalenone","zearalenone;f2 toxin;toxin f2;f-2 toxin;f 2 toxin;toxin f-2"
"d009183","mycotoxins","mycotoxins;fungal toxins;toxins fungal"
"d020867","omega-agatoxin iva","omega-agatoxin iva;iva omega-agatoxin;omega agatoxin iva;omega-aga-iva;omega aga iva"
"d060848","agatoxins","agatoxins;mu-agatoxins;mu agatoxins;omega-agatoxins;omega agatoxins;alpha-agatoxins;alpha agatoxins"
"d004902","erythrocruorins",""
"d006433","hemocyanins","hemocyanins;hemocyanin;alpha-hemocyanins;alpha hemocyanins;alpha-haemocyanin;alpha haemocyanin;alpha-hemocyanin;alpha hemocyanin"
"d005967","glue proteins drosophila","glue proteins drosophila;glue protein drosophila;drosophila glue protein;protein drosophila glue;drosophila glue proteins;proteins drosophila glue"
"d029721","drosophila proteins","drosophila proteins;proteins drosophila;drosophila melanogaster proteins;proteins drosophila melanogaster;melanogaster proteins drosophila"
"d049409","luciferases firefly","luciferases firefly;firefly luciferases"
"d014819","vitellogenins","vitellogenins;vitellogenin;microvitellogenin;vitellogenin ii"
"d019476","insect proteins","insect proteins;proteins insect"
"d005349","fibroins","fibroins;silk fibroins;fibroins silk;silk fibroin;fibroin silk;fibroin;fibroins spider;spider fibroins;spidroins;dragline silk fibroins;fibroins dragline silk"
"d047030","sericins","sericins;silk gum proteins;proteins silk gum;sericin;sericin-1;sericin 1"
"d047011","silk",""
"d060829","arthropod proteins","arthropod proteins;crustacean proteins;spider proteins;tick proteins;arachnid proteins;horseshoe crab proteins"
"d013111","spider venoms","spider venoms;venoms spider;araneid venoms;venoms araneid;spider venom;venom spider;araneid venom;venom araneid;tarantula venoms;venoms tarantula;arachnid venoms;venoms arachnid;arachnid venom;venom arachnid"
"d050859","betacyanins","betacyanins;betanidins;betanins"
"d050860","betaxanthins",""
"d050858","betalains","betalains;betalain pigments"
"d000077146","irinotecan","irinotecan;irrinotecan;camptothecin-11;camptothecin 11;sn 38 11;sn-38-11;sn3811;sn 38;sn-38;nk012 compound;cpt-11;cpt11;cpt 11;camptosar;7-ethyl-10-hydroxycamptothecin;7 ethyl 10 hydroxycamptothecin;irinotecan hydrochloride"
"d019772","topotecan","topotecan;9-dimethylaminomethyl-10-hydroxycamptothecin;9 dimethylaminomethyl 10 hydroxycamptothecin;topotecan hydrochloride;hydrochloride topotecan;nogitecan hydrochloride;hydrochloride nogitecan;topotecan monohydrochloride s-isomer;skf-104864-a;skf 104864 a;skf104864a;skf-104864-a;skf 104864 a;skf104864a;hycamtin;nsc-609699;nsc 609699;nsc609699;hycamtamine"
"d002166","camptothecin","camptothecin;camptothecine"
