"meshID","name","terms","matched"
"d004179","cobra cardiotoxin proteins","cobra cardiotoxin proteins;cardiotoxin proteins cobra;cobra cytotoxin proteins;cytotoxin proteins cobra;cobra cardiotoxin;cardiotoxin cobra;direct lytic factors;lytic factors direct;cardiotoxin ii;cardiotoxin vii 4;cardiotoxin vii2;cobra toxin gamma;toxin gamma cobra;cobra venom cardiotoxin d;cytotoxin-like basic protein cobra venom;cardiotoxin-like basic polypeptide;basic polypeptide cardiotoxin-like;cardiotoxin like basic polypeptide;polypeptide cardiotoxin-like basic;cardiotoxin i;cardiotoxins elapid;elapid cardiotoxins","1"
"d003039","cobra neurotoxin proteins","cobra neurotoxin proteins;neurotoxin proteins cobra;proteins cobra neurotoxin;cobra neurotoxins;neurotoxins cobra;cobrotoxin","1"
"d004546","elapid venoms","elapid venoms;venoms elapid;elapid venom;venom elapid;cobra venoms;venoms cobra;naja venoms;venoms naja;naja venom;venom naja;cobra venom;venom cobra;hydrophid venoms;venoms hydrophid;sea snake venoms;venoms sea snake;sea snake venom;venom sea snake;hydrophid venom;venom hydrophid;king cobra venom;venom king cobra;ophiophagus hannah venom;venom ophiophagus hannah","1"
"d012103","batroxobin","batroxobin;defibrol;reptilase-def;reptilase def;reptilase;defibrase;hemocoagulase","1"
"d003439","crotoxin","crotoxin;crotapotin;crotoxin a;crotoxin b","1"
"d000721","ancrod","ancrod;agkistrodon serine proteinase;agkistrodon rhodostoma venom protease;arvin irc-50;arvin irc 50;arvin irc50;venacil;arvin;arwin","1"
"d003435","crotalid venoms","crotalid venoms;venoms crotalid;pit viper venoms;venoms pit viper;pit viper venom;venom pit viper;viper venom pit;crotalid venom;venom crotalid;crotalin;crotaline snake venom;snake venom crotaline;venom crotaline snake;rattlesnake venoms;venoms rattlesnake;rattlesnake venom;venom rattlesnake;crotamin;crotactin;crotalotoxin","1"
"d014757","viper venoms","viper venoms;venoms viper;viper venom;venom viper;egyptian sand viper venom;viperotoxin;cerastes venoms;venoms cerastes;cerastes venom;venom cerastes","1"
"d012910","snake venoms","snake venoms;venoms snake;snake venom;venom snake","1"
"d012992","solanine","","1"
"d013111","spider venoms","spider venoms;venoms spider;araneid venoms;venoms araneid;spider venom;venom spider;araneid venom;venom araneid;tarantula venoms;venoms tarantula;arachnid venoms;venoms arachnid;arachnid venom;venom arachnid","1"
"","sporidesmin j","","0"
"","stizolobate","","0"
"","stizolobinate","","0"
"","stromatoxin 1","","0"
"d013327","strophanthidin","strophanthidin;cymarigenin;convallatoxigenin;corchsularin;k-strophanthidin;k strophanthidin;kstrophanthidin","1"
"d013331","strychnine","strychnine;strychnine nitrate;nitrate strychnine","1"
"","taicatoxin","","0"
"","taxine a","","0"
"","taxine b","","0"
"","tazettine","","0"
"","tentoxin","","0"
"","terpendole c","","0"
"","tertiapin","","0"
"d013779","tetrodotoxin","tetrodotoxin;tetradotoxin;fugu toxin;toxin fugu;tarichatoxin","1"
"","tetrodotoxins","","0"
"","toxin omega-aga-ia","","0"
"","toxin omega-aga-iiia","","0"
"","toxin omega-aga-iva","","0"
"d014403","tubocurarine","tubocurarine;tubocurare;d-tubocurare;d-tubocurarine;tubocurarine chloride","1"
"","tutin","","0"
"","urushiol iii","","0"
"","ustalic acid","","0"
"","valinopine","","0"
"d014688","venoms","venoms;venom","1"
"d003064","cnidarian venoms","cnidarian venoms;venoms cnidarian;cnidarian venom;venom cnidarian;sea anemone venom;venom sea anemone;sea anemone venoms;venoms sea anemone;nematocyst venoms;venoms nematocyst;portuguese man-of-war venom;portuguese man of war venom;venom portuguese man-of-war;chironex venoms;venoms chironex;chironex venom;venom chironex;jellyfish venoms;venoms jellyfish;jellyfish venom;venom jellyfish","1"
"d000077270","exenatide","exenatide;bydureon;itca 650;ac 2993 lar;exendin-4;ex4 peptide;peptide ex4;exendin 4;byetta;ac 2993","1"
"d005397","fish venoms","fish venoms;venoms fish;fish venom;venom fish","1"
"d014862","wasp venoms","wasp venoms;venoms wasp;vespid venom;venom vespid;wasp venom;venom wasp;vespa venoms;venoms vespa;vespid venoms;venoms vespid","1"
"d000862","ant venoms","ant venoms;venoms ant;formicoidea venoms;venoms formicoidea;ant venom;venom ant;fire ant venoms;venoms fire ant","1"
"d001180","arthropod venoms","arthropod venoms;venoms arthropod;arthropod venom;venom arthropod","1"
"","veratramine","","0"
"d014701","veratridine","","1"
"","verruculogen","","0"
"","vespakinin m","","0"
"d014747","vinblastine","vinblastine;vincaleukoblastine;lemblastine;velban;vinblastina lilly;velbe;vinblastine sulfate;sulfate vinblastine;vinblastinsulfat-gry;cellblastin;vinblastin hexal","1"
"d014750","vincristine","vincristine;leurocristine;vincristine sulfate;sulfate vincristine;cellcristin;citomid;vincristin medac;oncovin;oncovine;onkocristin;vincasar;farmistin;vincasar pfs;pfs vincasar;vincristin bristol;vintec;vincrisul","1"
"","vindoline","","0"
"","virol a","","0"
"","virol b","","0"
"","vomitoxin","","0"
"","yessotoxin","","0"
"d015029","zeranol","zeranol;zearanol;xeranol;zearalanol;p-1496;p 1496;p1496;ralone;dihydroxyundecyl resorcylic acid lactone;ralgro","1"
